"first_group","second_group","source"
"abano terme","ancona",NULL
"abano terme","zaninotto",NULL
"bologna","capizzi",NULL
"brescia","fumagalli",NULL
"milano rozzano","fumagalli",NULL
"milano","penagini",NULL
"napoli","sarnelli",NULL
"padova","ancona",NULL
"padova","costantini",NULL
"padova","merigliano",NULL
"padova","salvador",NULL
"padova","savarino",NULL
"padova","zaninotto","http://www.sied.it/clients/www.sied.it/public/files/Acalasiaesofageastrategieditrattamento.pdf"
"pisa","santi",NULL
"roma","costamagna",NULL
"roma","familiari",NULL
"roma","gigante",NULL
"rozzano","bonavina",NULL
"san donato milanese","bonavina",NULL
